parameter,time,value,se
Fq/Fm (OE),-40,0,0
Fq'/Fm' (OE),-20,,
Fq'/Fm' (OE),-15,0.709,0.00248045
Fq'/Fm' (OE),-10,0.7117,0.003317497
Fq'/Fm' (OE),-5,0.71835,0.003287356
Fq'/Fm' (OE),0,0.72935,0.00264503
Fq'/Fm' (OE),5,0.37125,0.003065835
Fq'/Fm' (OE),10,0.40725,0.00307355
Fq'/Fm' (OE),15,0.42055,0.002852031
Fq'/Fm' (OE),20,0.43165,0.003426119
Fq'/Fm' (OE),25,0.4427,0.003322254
Fq'/Fm' (OE),30,0.4449,0.002646646
Fq'/Fm' (OE),35,0.4502,0.002412249
Fq'/Fm' (OE),40,0.4575,0.002516786
Fq'/Fm' (OE),45,0.44945,0.002267012
Fq'/Fm' (OE),50,0.4533,0.002378744
Fq'/Fm' (OE),55,0.4526,0.002377969
Fq'/Fm' (OE),60,0.44905,0.001999309
Fq'/Fm' (OE),65,0.454,0.002436564
Fq'/Fm' (OE),70,0.45125,0.002238274
Fq'/Fm' (OE),75,0.4531,0.002187164
Fq'/Fm' (OE),80,0.4487,0.003082292
Fq'/Fm' (OE),85,0.44545,0.002470324
Fq'/Fm' (OE),90,0.44695,0.002805516
