GENEID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,log10padj
LOC_Os01g01040,695.4107884,0.808469772,0.213561215,3.785640204,0.000153313,0.000658804,3.181243978
LOC_Os01g01307,154.1795982,1.193133724,0.3897066,3.061460774,0.002202599,0.007479519,2.126126343
LOC_Os01g01450,7671.487111,3.795504328,0.137738551,27.55448297,3.91E-167,3.08E-164,163.511899
LOC_Os01g01680,99.27972383,4.414894977,0.670027624,6.538964916,6.19E-11,6.05E-10,9.218187552
LOC_Os01g02000,73.83130031,5.759603372,0.735060906,7.452797724,9.14E-14,1.16E-12,11.9349688
LOC_Os01g02040,61.74547887,2.387348129,0.757732891,3.147383711,0.001647386,0.005756889,2.239812176
LOC_Os01g02139,57.69245152,2.573103275,0.864188167,2.97439206,0.002935697,0.009694886,2.0134573
LOC_Os01g02150,371.017943,3.208354865,0.296344233,10.81966475,2.78E-27,8.41E-26,25.07538982
LOC_Os01g02290,55.11911877,2.570591278,0.673446397,3.81067462,0.000138588,0.000599722,3.222050176
LOC_Os01g02590,58.05520212,1.813313939,0.607765945,2.981650695,0.002866989,0.009487895,2.022830135
LOC_Os01g02880,79.23595473,5.727863799,0.693617192,7.898053645,2.83E-15,4.02E-14,13.39619397
LOC_Os01g03070,1385.037629,0.641197025,0.184231317,3.480383905,0.000500696,0.001955559,2.708729001
LOC_Os01g03100,216.0591334,4.179952776,0.91202688,4.57726955,4.71E-06,2.64E-05,4.577630128
LOC_Os01g03110,158.9441771,3.031557419,0.654588425,4.62546513,3.74E-06,2.12E-05,4.672837316
LOC_Os01g03490,14.99558303,2.856983619,1.108775375,2.55970205,0.010476194,0.029609395,1.528570465
LOC_Os01g03549,104.2824136,2.684342894,0.506594801,5.291879304,1.21E-07,8.46E-07,6.072459726
LOC_Os01g03570,409.3412731,2.2292034,0.297296086,7.497131667,6.52E-14,8.41E-13,12.07502177
LOC_Os01g03690,38.35594759,3.751124426,0.91129109,4.072250569,4.66E-05,0.000219893,3.657787875
LOC_Os01g03710,49.44072951,4.678157238,0.892688622,5.124729521,2.98E-07,1.98E-06,5.703688486
LOC_Os01g03870,60.01135229,6.578540944,0.873584816,6.378224824,1.79E-10,1.67E-09,8.776740622
LOC_Os01g03914,151.9266718,4.902926287,0.547482793,8.878943255,6.75E-19,1.22E-17,16.9133306
LOC_Os01g04280,539.708044,2.688684134,0.328668205,8.17858289,2.87E-16,4.38E-15,14.35859879
LOC_Os01g04330,4028.504296,0.974813462,0.221729886,4.39639983,1.10E-05,5.83E-05,4.234374388
LOC_Os01g04390,263.4083528,3.907450124,0.427066744,9.133570741,6.63E-20,1.28E-18,17.89237108
LOC_Os01g04409,492.1630558,1.750354837,0.277768568,6.301012126,2.96E-10,2.71E-09,8.56625302
LOC_Os01g04640,532.0157505,5.336976837,0.760231531,7.002398994,2.52E-12,2.81E-11,10.55189393
LOC_Os01g04650,432.6664089,0.657913787,0.257917513,2.550881098,0.010745098,0.030274818,1.518918462
LOC_Os01g04670,36.39022812,6.943742207,1.118872924,6.093595398,1.10E-09,9.57E-09,8.019242623
LOC_Os01g04720,19.45009951,5.867053459,1.21237234,4.76595572,1.88E-06,1.12E-05,4.952284845
LOC_Os01g04814,361.8720211,0.763975068,0.269250131,2.837416951,0.004548018,0.014310659,1.844340363
LOC_Os01g04930,409.0647961,3.03605453,0.321040116,9.452517551,3.31E-21,6.81E-20,19.1666631
LOC_Os01g05420,556.8223117,0.783552304,0.246234243,3.182124149,0.001461991,0.005174515,2.286130309
LOC_Os01g05650,11861.34802,3.342262862,0.182191147,18.34443183,3.66E-75,7.19E-73,72.14303511
LOC_Os01g05900,158.1210652,1.606611847,0.415201055,3.868641568,0.000109443,0.000481735,3.317192175
LOC_Os01g06460,579.0216845,1.067678973,0.241500643,4.420904257,9.83E-06,5.26E-05,4.279244646
LOC_Os01g06500,105.0855711,7.01530623,0.782864124,7.886452237,3.11E-15,4.40E-14,13.35698223
LOC_Os01g06580,18.75003622,5.132308926,1.13715842,4.18653692,2.83E-05,0.000139372,3.855825113
LOC_Os01g06640,13.54770108,2.865835548,1.145268198,2.474615305,0.013337976,0.036622996,1.436246136
LOC_Os01g06660,80.05546907,3.292066751,0.610824169,5.372609802,7.76E-08,5.56E-07,6.255242837
LOC_Os01g07500,67.44923971,3.643422111,0.742865677,4.876766263,1.08E-06,6.64E-06,5.178140536
LOC_Os01g07730,129.1032061,5.526635956,0.553257018,9.785771836,1.30E-22,2.93E-21,20.53310107
