Family,GENEID,Name,Name1,Description,,subcellular localization,(subcellular localization),
PSII,LOC_Os01g31690,PsbO,PSBO,Os01g0501800,PsbO,PSII,(PSII),
PSII,LOC_Os07g04840,PsbP,PSBP,Os07g0141400,PsbP,PSII,(PSII),
PSII,LOC_Os07g36080,PsbQ,PSBP,Os07g0544800,PsbQ,PSII,(PSII),
PSII,LOC_Os07g05360,OsPsbR1,PSBR,Os07g0147500,OsPsbR1,PSII,(PSII),
PSII,LOC_Os07g05365,OsPsbR2,PSBR,Os07g0147550,OsPsbR2,PSII,(PSII),
PSII,LOC_Os08g10020,OsPsbR3,PSBR,Os08g0200300,OsPsbR3,PSII,(PSII),
PSII,LOC_Os01g64960,OsPsbS1,PSBS1,Os01g0869800,OsPsbS1,PSII,(PSII),
PSII,LOC_Os04g59440,OsPsbS2,PSBS2,Os04g0690800,OsPsbS2,PSII,(PSII),
PSII,LOC_Os01g56680,PsbW,PSBW,Os01g0773700,PsbW,PSII,(PSII),
PSII,LOC_Os03g22370,PsbX,PSBX,Os03g0343900,PsbX,PSII,(PSII),
PSII,LOC_Os08g02630,PsbY,PSBY,Os08g0119800,PsbY,PSII,(PSII),
PSII,LOC_Os03g21560,Psb27,PSB27,Os03g0333400,Psb27,PSII,(PSII),
PSII,LOC_Os01g71190,Psb28,PSB28,Os01g0938100,Psb28,PSII,(PSII),
PSII,LOC_Os07g37250,Psb29,PSB29,Os07g0558500,Psb29,PSII,(PSII),
PSII,LOC_Os01g52240,LHCB1.1,LHCB1.1,Os01g0720500,LHCB1.1,PSII,(PSII),
PSII,LOC_Os01g41710,LHCB1a,LHCB1a,Os01g0600900,LHCB1a,PSII,(PSII),
PSII,LOC_Os09g17740,LHCB1b,LHCB1b,Os09g0346500,LHCB1b,PSII,(PSII),
PSII,LOC_Os03g39610,LHCB2,LHCB2,Os03g0592500,LHCB2,PSII,(PSII),
PSII,LOC_Os07g37240,LHCB4,LHCB4,Os07g0558400,LHCB4,PSII,(PSII),
PSII,LOC_Os11g13890,LHCB5,LHCB5,Os11g0242800,LHCB5,PSII,(PSII),
PSII,LOC_Os04g38410,LHCB6,LHCB6,Os04g0457000,LHCB6,PSII,(PSII),
PSI_0,LOC_Os08g44680,PsaD,PSAD,Os08g0560900,PsaD,PSI,(PSI),
PSI_0,LOC_Os07g25430,PsaE,PSAE,Os07g0435300,PsaE,PSI,(PSI),
PSI_0,LOC_Os03g56670,Usaf,PSAF,Os03g0778100,Usaf,PSI,(PSI),
PSI_0,LOC_Os09g30340,PsaG,PSAG,Os09g0481200,PsaG,PSI,(PSI),
PSI_0,LOC_Os05g48630,PsaH,PSAH,Os05g0560000,PsaH,PSI,(PSI),
PSI_0,LOC_Os07g05480,PsaK,PSAK,Os07g0148900,PsaK,PSI,(PSI),
PSI_0,LOC_Os12g23200,PsaL,PSAL,Os12g0420400,PsaL,PSI,(PSI),
