"","Line","time","treat","group","N","value","sd","se","ci"
"1","NIP",0,"Dark","NIP_Dark",4,43.9815381875,13.0124201377318,6.50621006886588,20.7056641950619
"2","NIP",0,"HL","NIP_HL",4,44.62963417,11.891709295452,5.94585464772599,18.9223631554095
"3","NIP",5,"Dark","NIP_Dark",4,66.376039545,9.29796581056807,4.64898290528403,14.7951384702483
"4","NIP",5,"HL","NIP_HL",4,72.502955655,26.0633393914374,13.0316696957187,41.4725890748176
"5","NIP",10,"Dark","NIP_Dark",4,68.134538465,11.3384069508902,5.66920347544512,18.0419356543319
"6","NIP",10,"HL","NIP_HL",4,76.7471464075,13.3059460917502,6.6529730458751,21.1727294889973
"7","NIP",15,"Dark","NIP_Dark",4,72.79649358,11.8039497261804,5.9019748630902,18.7827180969187
"8","NIP",15,"HL","NIP_HL",4,84.210991225,15.1751738175108,7.5875869087554,24.1470879237877
"9","NIP",20,"Dark","NIP_Dark",4,71.60431179,12.4207596755374,6.21037983776869,19.7642003691154
"10","NIP",20,"HL","NIP_HL",4,83.2041878075,12.4792349412777,6.23961747063884,19.8572475658183
"11","NIP",30,"Dark","NIP_Dark",4,72.506039205,4.73643362409593,2.36821681204797,7.53672284361281
"12","NIP",30,"HL","NIP_HL",4,87.94013499,14.2244479912739,7.11222399563697,22.634270977265
"13","NIP",60,"Dark","NIP_Dark",4,73.6220241525,9.10722624429146,4.55361312214573,14.4916292562641
"14","NIP",60,"HL","NIP_HL",4,90.0281255225,7.68069648427156,3.84034824213578,12.2217020741878
"15","OE",0,"Dark","OE_Dark",4,50.2126730725,18.4595706564751,9.22978532823757,29.3732962164114
"16","OE",0,"HL","OE_HL",4,54.7112775075,14.172771866674,7.08638593333699,22.5520427313627
"17","OE",5,"Dark","OE_Dark",4,67.79634874,5.49703500466674,2.74851750233337,8.74700937030843
"18","OE",5,"HL","OE_HL",4,78.2314535675,10.4547303890552,5.2273651945276,16.635809049693
"19","OE",10,"Dark","OE_Dark",4,68.7296866075,8.35913823887264,4.17956911943632,13.301254301828
"20","OE",10,"HL","OE_HL",4,83.53590629,11.3347100955967,5.66735504779833,18.0360531325968
"21","OE",15,"Dark","OE_Dark",4,71.5104669,4.5481507451403,2.27407537257015,7.23712276737255
"22","OE",15,"HL","OE_HL",4,97.3536179025,9.33207730350763,4.66603865175381,14.8494174675849
"23","OE",20,"Dark","OE_Dark",4,70.8229265225,14.1263988587238,7.06319942936192,22.4782529274548
"24","OE",20,"HL","OE_HL",4,96.4174358425,6.89596252603383,3.44798126301692,10.9730152311756
"25","OE",30,"Dark","OE_Dark",4,70.4032353525,13.5782812137619,6.78914060688095,21.6060754404199
"26","OE",30,"HL","OE_HL",4,101.26172638,10.5785661391402,5.28928306957011,16.8328593623531
"27","OE",60,"Dark","OE_Dark",4,74.9701932725,18.6723513575162,9.33617567875812,29.7118777943434
"28","OE",60,"HL","OE_HL",4,101.083094165,13.2283990545808,6.61419952729042,21.0493348480347
