,Distance,Treatment,time,mean,se
1,0,high light,0 min,45.3144,2.452291895
2,0.115,high light,0 min,45.3471,2.51070332
3,0.23,high light,0 min,45.250625,2.370636106
4,0.345,high light,0 min,45.117025,2.249962286
5,0.46,high light,0 min,45.06245,2.248179071
6,0.575,high light,0 min,44.7806,2.063800951
7,0.69,high light,0 min,44.755625,2.133410507
8,0.805,high light,0 min,44.55695,2.007791466
9,0.92,high light,0 min,44.3969,1.973016351
10,1.034,high light,0 min,44.337625,2.005543419
11,1.149,high light,0 min,44.0006,1.875176984
12,1.264,high light,0 min,43.953425,1.953438609
13,1.379,high light,0 min,43.676475,1.846791873
14,1.494,high light,0 min,43.56525,1.860994575
15,1.609,high light,0 min,43.564775,1.896684224
16,1.724,high light,0 min,43.40655,1.847192288
17,1.839,high light,0 min,43.54625,1.933551661
18,1.954,high light,0 min,43.346,1.813729356
19,2.069,high light,0 min,43.3065,1.836439083
20,2.184,high light,0 min,43.2469,1.866441402
21,2.299,high light,0 min,43.082725,1.865163055
22,2.414,high light,0 min,43.22375,2.057416746
23,2.529,high light,0 min,43.0649,2.053174522
24,2.644,high light,0 min,43.189875,2.220257161
25,2.759,high light,0 min,43.187975,2.343315924
26,2.874,high light,0 min,43.079075,2.384169865
27,2.989,high light,0 min,43.16755,2.594571376
28,3.103,high light,0 min,43.012675,2.596993876
29,3.218,high light,0 min,43.1389,2.791448578
30,3.333,high light,0 min,43.147325,2.906110306
31,3.448,high light,0 min,43.194675,2.97568042
32,3.563,high light,0 min,43.3616,3.183684562
33,3.678,high light,0 min,43.2933,3.184231317
34,3.793,high light,0 min,43.447625,3.377032193
35,3.908,high light,0 min,43.4155,3.427475018
36,4.023,high light,0 min,43.3904,3.470691578
37,4.138,high light,0 min,43.4024,3.620119122
38,4.253,high light,0 min,43.218325,3.527247317
39,4.368,high light,0 min,43.300975,3.660590635
40,4.483,high light,0 min,43.19615,3.619817054
41,4.598,high light,0 min,43.1342,3.673279299
42,4.713,high light,0 min,43.071275,3.781459756
43,4.828,high light,0 min,42.8352,3.704495881
44,4.943,high light,0 min,42.8558,3.820626735
45,5.057,high light,0 min,42.727325,3.716051374
46,5.172,high light,0 min,42.699325,3.757984828
47,5.287,high light,0 min,42.653325,3.776872557
48,5.402,high light,0 min,42.446975,3.63361361
49,5.517,high light,0 min,42.5307,3.726569658
50,5.632,high light,0 min,42.36285,3.564888614
51,5.747,high light,0 min,42.36595,3.605487919
52,5.862,high light,0 min,42.362425,3.573491488
53,5.977,high light,0 min,42.23175,3.440767661
54,6.092,high light,0 min,42.3589,3.515529732
55,6.207,high light,0 min,42.155175,3.406845574
56,6.322,high light,0 min,42.12815,3.505169303
57,6.437,high light,0 min,42.048375,3.51612433
58,6.552,high light,0 min,41.9161,3.461579852
59,6.667,high light,0 min,42.016575,3.551699591
60,6.782,high light,0 min,41.8109,3.48017315
61,6.897,high light,0 min,41.8274,3.592557205
62,7.011,high light,0 min,41.6868,3.580635869
63,7.126,high light,0 min,41.599025,3.536736949
64,7.241,high light,0 min,41.719975,3.602334429
65,7.356,high light,0 min,41.5263,3.452441805
66,7.471,high light,0 min,41.6596,3.506306847
67,7.586,high light,0 min,41.547125,3.458283612
68,7.701,high light,0 min,41.506475,3.443082576
69,7.816,high light,0 min,41.531475,3.51548622
70,7.931,high light,0 min,41.2901,3.39122345
71,8.046,high light,0 min,41.338675,3.447596425
72,8.161,high light,0 min,41.169875,3.37983873
73,8.276,high light,0 min,41.08955,3.380383921
74,8.391,high light,0 min,41.02495,3.4827898
75,8.506,high light,0 min,40.79155,3.429429618
76,8.621,high light,0 min,40.863625,3.585453031
77,8.736,high light,0 min,40.70665,3.516524368
78,8.851,high light,0 min,40.7239,3.555328833
79,8.966,high light,0 min,40.72605,3.621238469
80,9.08,high light,0 min,40.5876,3.53207492
81,9.195,high light,0 min,40.658875,3.69206198
82,9.31,high light,0 min,40.481125,3.594227726
83,9.425,high light,0 min,40.497425,3.656288229
84,9.54,high light,0 min,40.5384,3.666099205
85,9.655,high light,0 min,40.4406,3.563789774
86,9.77,high light,0 min,40.5107,3.649826908
87,9.885,high light,0 min,40.321375,3.529842607
88,10,high light,0 min,40.346425,3.63401252
89,10.115,high light,0 min,40.334425,3.671474279
90,10.23,high light,0 min,40.269925,3.680700919
91,10.345,high light,0 min,40.42995,3.806745742
92,10.46,high light,0 min,40.33585,3.735437362
93,10.575,high light,0 min,40.511575,3.847868105
94,10.69,high light,0 min,40.516775,3.807048901
95,10.805,high light,0 min,40.508675,3.803850844
96,10.92,high light,0 min,40.687525,3.885561972
97,11.034,high light,0 min,40.555225,3.776699513
98,11.149,high light,0 min,40.791675,3.857259553
99,11.264,high light,0 min,40.818175,3.789777292
100,11.379,high light,0 min,40.86385,3.757975911
101,11.494,high light,0 min,41.081725,3.791994038
102,11.609,high light,0 min,41.0428,3.717464679
103,11.724,high light,0 min,41.351125,3.802295762
104,11.839,high light,0 min,41.366275,3.737740438
105,11.954,high light,0 min,41.453775,3.699431187
106,12.069,high light,0 min,41.5711,3.695867751
107,12.184,high light,0 min,41.52095,3.5885691
108,12.299,high light,0 min,41.83125,3.672721636
109,12.414,high light,0 min,41.838975,3.618834324
