"","ID","treat1","time","treat2","group","N","value","sd","se","ci"
"1","id","E1015",0,"CK","E1015_CK",4,21.38122803,7.38089756053841,3.6904487802692,11.7446550856065
"2","id","E1015",0,"HL","E1015_HL",4,24.6686913825,9.85482106560153,4.92741053280076,15.6812194447278
"3","id","E1015",5,"CK","E1015_CK",4,29.640963155,4.41315480814829,2.20657740407414,7.02231410691827
"4","id","E1015",5,"HL","E1015_HL",4,27.9418849475,3.71237614222494,1.85618807111247,5.90721886882357
"5","id","E1015",10,"CK","E1015_CK",4,29.13418989,18.3640536408758,9.1820268204379,29.2213073297185
"6","id","E1015",10,"HL","E1015_HL",4,38.07292581,5.5508213558783,2.77541067793915,8.8325954576524
"7","id","E1015",15,"CK","E1015_CK",4,28.136782655,8.72863437394981,4.36431718697491,13.8892051067745
"8","id","E1015",15,"HL","E1015_HL",4,39.1530904475,8.27784062268717,4.13892031134359,13.1718916526991
"9","id","E1015",20,"CK","E1015_CK",4,34.6646553425,12.8143003722434,6.40715018612171,20.3904114372208
"10","id","E1015",20,"HL","E1015_HL",4,47.8975908175,5.2625994981934,2.6312997490967,8.37397016460674
"11","id","E1015",30,"CK","E1015_CK",4,33.128705925,5.98237118846672,2.99118559423336,9.51928754278581
"12","id","E1015",30,"HL","E1015_HL",4,51.64159065,5.73874299714875,2.86937149857438,9.1316207241244
"13","id","E1015",60,"CK","E1015_CK",4,34.000874345,6.77414018082912,3.38707009041456,10.7791686949768
"14","id","E1015",60,"HL","E1015_HL",4,57.0000936775,16.9427325432625,8.47136627163127,26.959668291858
"15","id","E3033",0,"CK","E3033_CK",4,20.6417070925,3.57848533056647,1.78924266528323,5.6941687093866
"16","id","E3033",0,"HL","E3033_HL",4,18.6309703075,3.59144042140439,1.7957202107022,5.71478314987249
"17","id","E3033",5,"CK","E3033_CK",4,26.0846923975,8.58076401882758,4.29038200941379,13.6539103741146
"18","id","E3033",5,"HL","E3033_HL",4,28.8430392675,8.88823763551413,4.44411881775706,14.1431695118128
"19","id","E3033",10,"CK","E3033_CK",4,31.80121708,7.95928155888953,3.97964077944477,12.6649930949004
"20","id","E3033",10,"HL","E3033_HL",4,39.1057020225,6.98219433553129,3.49109716776564,11.1102292829422
"21","id","E3033",15,"CK","E3033_CK",4,32.9899977975,10.5862767975536,5.29313839877681,16.8451287405426
"22","id","E3033",15,"HL","E3033_HL",4,41.87332461,6.50603483445873,3.25301741722937,10.3525532604852
"23","id","E3033",20,"CK","E3033_CK",4,33.99580986,12.3687635758796,6.1843817879398,19.6814629714929
"24","id","E3033",20,"HL","E3033_HL",4,45.0944587225,8.35860089103738,4.17930044551869,13.3003992615115
"25","id","E3033",30,"CK","E3033_CK",4,36.6409955,13.3278626657889,6.66393133289445,21.2076036490343
"26","id","E3033",30,"HL","E3033_HL",4,45.4039223275,9.46681960174257,4.73340980087128,15.0638225321765
"27","id","E3033",60,"CK","E3033_CK",4,35.2245640325,6.58274063123663,3.29137031561832,10.47460930026
"28","id","E3033",60,"HL","E3033_HL",4,53.631730155,14.5812699317112,7.29063496585562,23.2020543102594
"29","id","Nip",0,"CK","Nip_CK",4,26.13053792,9.08406515925474,4.54203257962737,14.4547748015134
"30","id","Nip",0,"HL","Nip_HL",4,26.2499456375,11.1616385979798,5.58081929898992,17.7606577585265
"31","id","Nip",5,"CK","Nip_CK",4,25.9246054225,9.75289264959027,4.87644632479514,15.5190285892586
"32","id","Nip",5,"HL","Nip_HL",4,40.2076634275,7.03766827127425,3.51883413563712,11.1985006938646
"33","id","Nip",10,"CK","Nip_CK",4,31.173281275,11.6279407342513,5.81397036712566,18.502648513888
"34","id","Nip",10,"HL","Nip_HL",4,55.976354155,12.4649510375201,6.23247551876005,19.8345186874491
"35","id","Nip",15,"CK","Nip_CK",4,30.0705119525,13.1414193635967,6.57070968179835,20.9109307499311
"36","id","Nip",15,"HL","Nip_HL",4,59.02742336,6.46147827025019,3.2307391351251,10.2816538239143
"37","id","Nip",20,"CK","Nip_CK",4,34.068425825,18.3256730050585,9.16283650252926,29.1602351733929
"38","id","Nip",20,"HL","Nip_HL",4,67.517972855,8.87850013661888,4.43925006830944,14.1276749781218
"39","id","Nip",30,"CK","Nip_CK",4,36.795555905,12.4198235907111,6.20991179535556,19.762710849267
"40","id","Nip",30,"HL","Nip_HL",4,70.8141124825,8.84521668333052,4.42260834166526,14.0747135766495
"41","id","Nip",60,"CK","Nip_CK",4,38.51788837,10.8755498819998,5.43777494099988,17.3054267699494
"42","id","Nip",60,"HL","Nip_HL",4,79.0050817475,7.94245395062716,3.97122697531358,12.6382166150297
