GENEID,BSS_1,BSS_2,BSS_3,M_1,M_2,M_3
LOC_Os01g45470,37394.6796,30026.26145,26579.65346,445.0716312,407.3539146,446.2350923
LOC_Os07g42714,53990.60879,46264.57449,50650.92125,614.727649,558.6342853,759.3496318
LOC_Os01g27140,12521.7796,12490.10009,12582.19567,178.4693174,133.9461615,204.3681725
LOC_Os08g05910,20114.7592,14884.69782,14970.31627,196.0959167,169.4024984,242.8043885
LOC_Os04g47360,8583.073803,7094.228138,6102.91522,61.69309739,63.03348776,59.06052692
LOC_Os03g27120,95338.89301,68057.61072,68247.20377,889.0415998,872.2258869,1278.707281
LOC_Os01g44390,7247.597904,6536.558942,7653.47554,111.2679078,66.18516215,75.93496318
LOC_Os07g08840,220086.699,194489.667,216839.5253,4011.152993,3051.608726,5217.013211
LOC_Os07g48500,27630.53583,22146.22671,24363.34009,153.131081,142.6132661,290.6152912
LOC_Os11g43520,11581.7996,9519.244188,9932.069029,159.7410557,156.7958008,236.2421077
LOC_Os08g06550,9956.473966,8542.478141,11398.87332,129.9961695,172.5541727,214.680328
LOC_Os03g02860,8784.885069,5515.855322,5891.377558,64.99808475,58.30597618,76.87243187
LOC_Os01g73940,35394.17463,34396.36006,34458.0891,409.8184326,285.2265321,614.9794549
LOC_Os02g02830,5103.522501,4875.3807,5275.019093,100.2512833,59.09389477,59.06052692
LOC_Os02g53180,4511.633081,4067.605319,3798.550645,17.62659925,21.27380212,41.24862198
LOC_Os04g07890,6088.19895,4669.212088,5721.181014,85.92967136,130.7944871,113.4337104
LOC_Os07g42730,5596.537944,4471.493009,5253.543189,34.15153605,18.12212773,51.56077747
LOC_Os03g45340,6991.609116,5889.324693,6237.139624,300.7538498,243.4668465,261.5537621
LOC_Os04g58800,6789.79785,5350.24447,5665.343661,203.8075539,189.1004633,235.304639
LOC_Os01g01450,14469.46149,13605.43848,14881.19127,960.6496593,1110.965222,1001.216552
LOC_Os08g03610,6042.148057,4758.77714,5344.278886,53.98146021,66.18516215,109.6838357
LOC_Os12g33120,44556.94791,49450.04854,52216.5147,793.1969664,416.0210192,966.5302104
LOC_Os10g14870,3573.007526,3116.187872,3120.985851,4.406649813,18.91004633,17.81190494
LOC_Os03g15530,4911.192301,3011.413659,3793.181669,60.59143493,53.5784646,53.43571483
LOC_Os11g04409,25403.83971,22866.12695,23546.71882,2302.474527,2201.44456,2317.42258
LOC_Os05g41460,2906.624015,2700.470835,3195.077723,31.94821115,14.18253475,30.93646648
LOC_Os03g45280,364162.3357,257014.5233,260080.7226,15930.03908,16383.97931,17545.66384
LOC_Os06g05480,2498.938167,2773.136821,2526.103291,52.87979776,65.39724355,68.43521373
LOC_Os01g73250,25731.61371,15572.48983,15764.92475,583.8811003,427.0518796,551.2315846
LOC_Os10g17790,3333.271994,2310.102397,2883.677104,48.47314795,43.33552283,30.93646648
LOC_Os11g06720,209481.4492,170572.4181,191125.8877,13884.2519,16971.76658,17092.86647
LOC_Os07g40580,21420.43746,19175.37081,19911.38505,2227.561481,2167.56406,2087.742753
LOC_Os12g33130,6291.364654,4882.140326,7955.748898,90.33632117,147.3407776,156.5572698
LOC_Os02g10920,11247.25341,10320.25994,10016.36195,219.2308282,430.203554,332.8013819
LOC_Os05g05040,2336.405604,2952.266926,3044.74639,36.35486096,41.75968564,67.49774505
LOC_Os04g20164,8652.150142,7406.860869,7574.55159,421.9367196,534.2088088,365.6127857
LOC_Os09g28500,2099.378948,1632.449829,2156.180832,27.54156133,29.94090669,32.81140385
LOC_Os12g02980,2939.130527,2587.247089,2567.981305,41.86317323,74.85226671,43.12355934
LOC_Os01g18860,2721.066004,2546.689329,2278.593489,68.30307211,66.18516215,40.3111533
LOC_Os02g50240,7583.498536,7665.416587,6672.563592,286.4322379,420.7485308,432.1730621
LOC_Os01g62970,3383.386202,3006.343939,3260.042334,178.4693174,193.0400563,163.1195505
LOC_Os01g57710,2958.09266,2129.282385,2426.240334,76.01470928,58.30597618,56.24812088
LOC_Os06g02960,3963.085679,3570.772762,2758.043062,26.43989888,35.45633686,68.43521373
LOC_Os02g45520,2786.07903,2245.885944,2197.521949,53.98146021,44.91136003,24.37418571
LOC_Os06g30480,2689.91393,2283.063891,2177.656737,40.76151077,59.09389477,79.68483791
LOC_Os08g36320,2744.091451,2479.093063,2416.039279,46.26982304,59.88181337,21.56177967
LOC_Os05g07300,2051.973617,1759.192828,1842.095726,47.37148549,68.54891794,59.9979956
LOC_Os09g27750,8914.91112,7129.716177,7843.537296,290.8388877,124.4911383,250.3041379
LOC_Os02g44630,8565.466108,7351.093949,6971.078667,637.8625605,486.9336929,434.0479994
LOC_Os04g39489,1884.023301,1728.774508,1915.6507,70.50639701,44.91136003,49.68584011
LOC_Os07g36210,3912.971472,2825.523927,2929.313402,128.894507,174.9179285,133.1205527
LOC_Os04g52460,2163.037536,1706.805722,1952.696635,88.13299627,66.18516215,74.9974945
LOC_Os01g74300,1748.579498,1373.894111,2540.062629,9.91496208,11.03086036,8.437218132
LOC_Os04g31760,4540.07628,3366.294057,4386.453536,81.52302155,33.09258107,99.37168022
LOC_Os08g07740,1278.589501,1404.31243,1416.872813,17.62659925,7.091267373,12.18709286
LOC_Os06g50340,2158.974222,1835.238627,2045.043026,17.62659925,8.667104567,35.62380989
LOC_Os01g72009,4804.191696,4550.918622,4356.38727,30.84654869,75.64018531,119.9959912
LOC_Os05g02530,16170.63565,13703.45307,14497.30947,1845.284609,1969.796492,2133.678719
LOC_Os04g42930,10338.42549,7908.763145,8696.130713,777.7736921,750.0985043,961.842867
LOC_Os05g12640,4316.594005,5346.864656,4865.366211,235.755765,335.6533223,191.243611
LOC_Os12g08130,4323.366195,5357.004096,4050.355628,95.84463344,156.0078822,218.4302027
LOC_Os02g20360,1441.122065,1934.94312,1595.65972,57.28644757,64.60932495,46.87343406
LOC_Os04g38790,1246.082989,1367.134484,1157.014366,24.23657397,32.30466248,34.68634121
LOC_Os05g36290,1328.703708,1179.554845,1319.157447,22.03324907,26.0013137,37.49874725
LOC_Os08g33210,3528.311071,2193.498838,2337.11533,64.99808475,54.36638319,100.3091489
LOC_Os09g24620,1388.298982,1365.444577,2034.841971,46.26982304,40.18384845,30.93646648
LOC_Os02g02400,3692.198073,5458.398496,6341.297762,284.228913,266.3164858,335.6137879
LOC_Os12g38150,1967.998459,1985.64032,1635.927041,51.77813531,65.39724355,91.87193077
LOC_Os04g55800,1584.692496,1466.838977,1620.893908,56.18478512,28.36506949,50.62330879
LOC_Os12g07780,2047.910303,2223.917158,2046.653718,136.6061442,84.30728988,86.24711868
LOC_Os01g52780,2683.14174,2284.753798,2878.308128,69.40473456,18.91004633,25.31165439
LOC_Os02g53510,1451.957569,1073.090726,1448.549772,22.03324907,20.48588352,39.37368461
LOC_Os06g19444,1153.981202,1434.73075,1160.235752,15.42327435,7.091267373,24.37418571
LOC_Os04g01490,987.3853246,1130.547552,1085.070085,12.11828699,23.63755791,24.37418571
LOC_Os03g50960,1542.704917,1617.240669,2429.46172,53.98146021,37.82009266,19.68684231
LOC_Os01g05650,20183.83554,18100.59018,26553.88237,1786.896499,2563.887115,1978.996386
LOC_Os11g41150,1170.234459,1335.026257,1258.488016,57.28644757,39.39592985,32.81140385
LOC_Os05g38660,1836.61797,1843.688161,1305.198108,11.01662453,29.94090669,43.12355934
LOC_Os09g29239,2116.986643,1796.370774,1772.299036,98.04795835,73.27642952,123.7458659
LOC_Os02g19770,1403.1978,1321.507004,1381.974468,51.77813531,54.36638319,79.68483791
LOC_Os02g52130,1181.069963,863.5423007,943.8660118,17.62659925,17.33420913,24.37418571
LOC_Os06g24190,5639.879961,4758.77714,4789.126749,490.2397917,397.1109729,270.9284489
LOC_Os03g55240,1905.69431,1840.308347,1390.56483,52.87979776,81.15561549,90.93446209
LOC_Os11g14000,1109.284747,1282.639151,1318.083651,2.203324907,19.69796492,6.562280769
LOC_Os02g37610,3434.854847,2320.241837,2516.439134,101.3529457,93.76231304,35.62380989
LOC_Os02g47190,873.61253,1177.864939,790.3132932,7.711637173,14.97045334,13.12456154
LOC_Os04g33660,2252.430446,2081.964999,2370.93988,56.18478512,45.69927863,117.1835852
LOC_Os03g08470,1235.247484,1397.552804,860.1099835,35.25319851,20.48588352,28.12406044
LOC_Os11g09020,1213.576476,941.2780068,1206.945844,5.508312267,23.63755791,20.62431099
LOC_Os03g46090,1508.843967,1296.158404,1318.083651,70.50639701,34.66841827,53.43571483
LOC_Os01g68950,3965.794555,3133.086938,3168.769739,425.241707,342.7445897,342.1760687
LOC_Os08g01780,3124.688538,2017.748546,2605.027241,204.9092163,174.1300099,218.4302027
LOC_Os03g57790,7553.700899,6757.936713,7258.318893,1122.59404,932.1077002,1234.646253
LOC_Os01g55110,782.865182,875.3716473,1040.507583,17.62659925,6.303348776,12.18709286
