Target,Sample,RQ
Sodcc2,E_BSS_1_a,3208.939666
Sodcc2,E_BSS_1_b,3239.880111
Sodcc2,E_BSS_1_c,3544.195852
Sodcc2,E_BSS_2_a,3362.853909
Sodcc2,E_BSS_2_b,3313.242947
Sodcc2,E_BSS_2_c,9982.085261
Sodcc2,E_BSS_3_a,7365.023296
Sodcc2,E_BSS_3_b,7796.033401
Sodcc2,E_BSS_3_c,4122.671777
Sodcc2,E_M_1_a,3.083191297
Sodcc2,E_M_1_b,2.46584296
Sodcc2,E_M_1_c,2.783987631
Sodcc2,E_M_2_a,22.29608013
Sodcc2,E_M_2_b,11.92309121
Sodcc2,E_M_2_c,12.67687927
Sodcc2,E_M_3_a,7.777570356
Sodcc2,E_M_3_b,9.583621344
Sodcc2,E_M_3_c,3.807720019
Sodcc2,G_BSS_1_a,906.8489662
Sodcc2,G_BSS_1_b,4252.101182
Sodcc2,G_BSS_1_c,3375.879369
Sodcc2,G_BSS_2_a,4367.93896
Sodcc2,G_BSS_2_b,1510.913114
Sodcc2,G_BSS_2_c,6770.693137
Sodcc2,G_BSS_3_a,4535.486068
Sodcc2,G_BSS_3_b,4607.070821
Sodcc2,G_BSS_3_c,4768.610284
Sodcc2,G_M_1_a,1.81616971
Sodcc2,G_M_1_b,2.409405661
Sodcc2,G_M_1_c,7.797389126
Sodcc2,G_M_2_a,0.587992104
Sodcc2,G_M_2_b,1.158695056
Sodcc2,G_M_2_c,1.467774547
Sodcc2,G_M_3_a,7.136910238
Sodcc2,G_M_3_b,3.897536802
Sodcc2,G_M_3_c,11.88646854
Sodcc1,E_BSS_1_a,23724.74637
Sodcc1,E_BSS_1_b,14958.43145
Sodcc1,E_BSS_1_c,12944.71069
Sodcc1,E_BSS_2_a,31650.3745
Sodcc1,E_BSS_2_b,32034.28171
Sodcc1,E_BSS_2_c,33818.74224
Sodcc1,E_BSS_3_a,19904.79913
Sodcc1,E_BSS_3_b,21442.61399
Sodcc1,E_BSS_3_c,24582.78845
Sodcc1,E_M_1_a,6409.474933
Sodcc1,E_M_1_b,6512.867915
Sodcc1,E_M_1_c,6836.264184
Sodcc1,E_M_2_a,7425.925716
Sodcc1,E_M_2_b,8251.68341
Sodcc1,E_M_2_c,15690.64939
Sodcc1,E_M_3_a,10546.29729
Sodcc1,E_M_3_b,9794.274092
Sodcc1,E_M_3_c,11305.28002
Sodcc1,G_BSS_1_a,51116.58418
Sodcc1,G_BSS_1_b,52606.47592
Sodcc1,G_BSS_1_c,56562.36834
Sodcc1,G_BSS_2_a,51782.90544
Sodcc1,G_BSS_2_b,51999.79199
Sodcc1,G_BSS_2_c,59986.47363
Sodcc1,G_BSS_3_a,86863.38996
Sodcc1,G_BSS_3_b,81353.02731
Sodcc1,G_BSS_3_c,178377.6228
Sodcc1,G_M_1_a,11264.09526
Sodcc1,G_M_1_b,13512.05328
Sodcc1,G_M_1_c,15743.00642
Sodcc1,G_M_2_a,8628.482804
Sodcc1,G_M_2_b,8352.479729
Sodcc1,G_M_2_c,6563.136399
Sodcc1,G_M_3_a,13399.09841
Sodcc1,G_M_3_b,15650.1417
Sodcc1,G_M_3_c,16270.30811
SodA,E_BSS_1_a,89.93004973
SodA,E_BSS_1_b,71.07700825
SodA,E_BSS_1_c,158.2947456
SodA,E_BSS_2_a,310.9958138
SodA,E_BSS_2_b,216.5318972
SodA,E_BSS_2_c,160.2451896
SodA,E_BSS_3_a,234.744461
SodA,E_BSS_3_b,216.7314883
SodA,E_BSS_3_c,116.0517445
